CVE,Associated CPE,Priority Tier,Priority Rationale,CVSS V3 Base,EPSS Score,EPSS Percentile,CISA KEV,VulnCheck KEV,Max Exploit Maturity,NVD Published,First Exploit Published,Weaponized Exploit Published,CISA KEV Date Added,VulnCheck KEV Date Added,Ransomware Associated,Botnet Associated,APT Associated,Threat Actors,Description
CVE-2024-0012,cpe:2.3:o:paloaltonetworks:pan-os:11.2.4:h2:*:*:*:*:*:*,Unattributed KEV,Confirmed known-exploited; no specific actor/campaign attribution.,9.8,0.99698,0.99951,True,True,weaponized,2024-11-18T16:15:11.683Z,2024-11-19T00:00:00Z,2024-11-19T00:00:00Z,2024-11-18T00:00:00Z,2024-11-18T00:00:00Z,False,False,False,"China Attribution, Linuxsys, MgBot, Palo Alto Networks PAN-OS Management Interface Authentication Bypass Vulnerability, RA World, UNC5923","An authentication bypass in Palo Alto Networks PAN-OS software enables an unauthenticated attacker with network access to the management web interface to gain PAN-OS administrator privileges to perform administrative actions, tamper with the configuration, or exploit other authenticated privilege escalation vulnerabilities like  CVE-2024-9474 https://security.paloaltonetworks.com/CVE-2024-9474 .

The risk of this issue is greatly reduced if you secure access to the management web interface by restricting access to only trusted internal IP addresses according to our recommended  best practice deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue is applicable only to PAN-OS 10.2, PAN-OS 11.0, PAN-OS 11.1, and PAN-OS 11.2 software.

Cloud NGFW and Prisma Access are not impacted by this vulnerability."
CVE-2026-0300,cpe:2.3:o:paloaltonetworks:pan-os:11.2.4:h2:*:*:*:*:*:*,Unattributed KEV,Confirmed known-exploited; no specific actor/campaign attribution.,9.8,0.32074,0.98165,True,True,weaponized,2026-05-06T19:16:35.73Z,,,2026-05-06T00:00:00Z,2026-05-05T00:00:00Z,False,False,False,"China Attribution, Palo Alto Networks PAN-OS Out-of-bounds Write Vulnerability","A buffer overflow vulnerability in the User-ID™ Authentication Portal (aka Captive Portal) service of Palo Alto Networks PAN-OS software allows an unauthenticated attacker to execute arbitrary code with root privileges on the PA-Series and VM-Series firewalls by sending specially crafted packets. 

The risk of this issue is greatly reduced if you secure access to the User-ID™ Authentication Portal per the  best practice guidelines https://knowledgebase.paloaltonetworks.com/KCSArticleDetail  by restricting access to only trusted internal IP addresses.

Prisma Access, Cloud NGFW and Panorama appliances are not impacted by this vulnerability."
CVE-2026-33824,cpe:2.3:o:microsoft:windows_server_2025:10.0.26100.4946:*:*:*:*:*:x64:*,Unattributed KEV,Confirmed known-exploited; no specific actor/campaign attribution.,9.8,0.5585,0.98956,False,True,weaponized,2026-04-14T18:17:34.767Z,2026-04-23T00:00:00Z,,,2026-07-30T00:00:00Z,False,False,False,China Attribution,Double free in Windows IKE Extension allows an unauthorized attacker to execute code over a network.
CVE-2025-59287,cpe:2.3:o:microsoft:windows_server_2025:10.0.26100.4946:*:*:*:*:*:x64:*,Unattributed KEV,Confirmed known-exploited; no specific actor/campaign attribution.,9.8,0.99938,0.99971,True,True,weaponized,2025-10-14T17:16:11.67Z,2025-10-17T00:00:00Z,2025-10-21T00:00:00Z,2025-10-24T00:00:00Z,2025-10-24T00:00:00Z,False,False,False,"China Attribution, Iran Attribution, Microsoft Windows Server Update Service (WSUS) Deserialization of Untrusted Data Vulnerability, SectorB, Veiled Panda",Deserialization of untrusted data in Windows Server Update Service allows an unauthorized attacker to execute code over a network.
CVE-2026-41089,cpe:2.3:o:microsoft:windows_server_2025:10.0.26100.4946:*:*:*:*:*:x64:*,Unattributed KEV,Confirmed known-exploited; no specific actor/campaign attribution.,9.8,0.79622,0.99571,False,True,weaponized,2026-05-12T18:17:20.72Z,2026-06-01T00:00:00Z,,,2026-05-29T00:00:00Z,False,False,False,None,Stack-based buffer overflow in Windows Netlogon allows an unauthorized attacker to execute code over a network.
CVE-2026-0257,cpe:2.3:o:paloaltonetworks:pan-os:11.2.4:h2:*:*:*:*:*:*,Unattributed KEV,Confirmed known-exploited; no specific actor/campaign attribution.,9.1,0.93905,0.99837,True,True,weaponized,2026-05-13T19:17:01.04Z,2026-05-29T00:00:00Z,2026-06-01T00:00:00Z,2026-05-29T00:00:00Z,2026-05-29T00:00:00Z,False,False,False,"Palo Alto Networks PAN-OS Authentication Bypass Vulnerability, Qilin","Authentication bypass vulnerabilities in the GlobalProtect portal and gateway of Palo Alto Networks PAN-OS® software allows the attacker to bypass security restrictions and establish an unauthorized VPN connection.

Panorama and Cloud NGFW are not impacted by these issues."
CVE-2025-0108,cpe:2.3:o:paloaltonetworks:pan-os:11.2.4:h2:*:*:*:*:*:*,Unattributed KEV,Confirmed known-exploited; no specific actor/campaign attribution.,9.1,0.98455,0.99916,True,True,weaponized,2025-02-12T21:15:16.29Z,2025-02-12T00:00:00Z,2025-02-18T00:00:00Z,2025-02-18T00:00:00Z,2025-02-13T00:00:00Z,False,False,False,"Mora_001, Palo Alto Networks PAN-OS Authentication Bypass Vulnerability","An authentication bypass in the Palo Alto Networks PAN-OS software enables an unauthenticated attacker with network access to the management web interface to bypass the authentication otherwise required by the PAN-OS management web interface and invoke certain PHP scripts. While invoking these PHP scripts does not enable remote code execution, it can negatively impact integrity and confidentiality of PAN-OS.

You can greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  best practices deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue does not affect Cloud NGFW or Prisma Access software."
CVE-2026-21510,cpe:2.3:o:microsoft:windows_server_2025:10.0.26100.4946:*:*:*:*:*:x64:*,Unattributed KEV,Confirmed known-exploited; no specific actor/campaign attribution.,8.8,0.25835,0.97798,True,True,weaponized,2026-02-10T18:16:33.17Z,2026-04-23T00:00:00Z,,2026-02-10T00:00:00Z,2026-02-10T00:00:00Z,False,False,False,"Fancy Bear, Microsoft Office Microsoft Office Security Feature Bypass Vulnerability, Microsoft Windows Shell Protection Mechanism Failure Vulnerability, Windows Shell Security Feature Bypass Vulnerability",Protection mechanism failure in Windows Shell allows an unauthorized attacker to bypass a security feature over a network.
CVE-2026-21513,cpe:2.3:o:microsoft:windows_server_2025:10.0.26100.4946:*:*:*:*:*:x64:*,Unattributed KEV,Confirmed known-exploited; no specific actor/campaign attribution.,8.8,0.15384,0.96493,True,True,weaponized,2026-02-10T18:16:33.643Z,2026-02-20T00:00:00Z,2026-03-18T00:00:00Z,2026-02-10T00:00:00Z,2026-02-10T00:00:00Z,False,False,False,"Fancy Bear, MSHTML Framework Security Feature Bypass Vulnerability, Microsoft MSHTML Framework Protection Mechanism Failure Vulnerability, Microsoft Office Microsoft Office Security Feature Bypass Vulnerability, Mythic Leopard, SectorC",Protection mechanism failure in MSHTML Framework allows an unauthorized attacker to bypass a security feature over a network.
CVE-2026-20931,cpe:2.3:o:microsoft:windows_server_2025:10.0.26100.4946:*:*:*:*:*:x64:*,Unattributed KEV,Confirmed known-exploited; no specific actor/campaign attribution.,8.0,0.00786,0.531,False,True,weaponized,2026-01-13T18:16:20.003Z,2026-01-19T00:00:00Z,,,2026-02-24T00:00:00Z,False,False,False,None,External control of file name or path in Windows Telephony Service allows an authorized attacker to elevate privileges over an adjacent network.
